path	class	kind	line	owner_zone	file_lines	sha256
src/mechanist/UiRuntimeSupportFramework.java	ScrollRegion	class	77	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	GuiLayoutApi	class	83	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	ButtonBox	class	130	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	TextSurfaceApi	class	219	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	TextLayoutAuthority	class	243	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	RenderImageScaleCacheAuthority	class	329	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	TimeSurfaceApi	class	400	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiRuntimeSupportFramework.java	SelectedContextSurfaceApi	class	410	ui.render.surface	428	2509a9260a9da445c294b971c10ba63c14a54761f62ecd81c39c2fb4600d34c4
src/mechanist/UiTextSurfacePainter.java	UiTextSurfacePainter	class	10	ui.render.surface	98	e10660b6b1e96b153c620dea50e11573a2bda1e66aad18b58420d0b0c2552ef6
src/mechanist/UniversalManagementWindowAuthority.java	UniversalManagementWindowAuthority	class	7	unclassified	49	52aba0cd3cbad50cdcdffa9524745216812888e8694fbc72c3f70c23c7415b2f
src/mechanist/UniversalManagementWindowAuthority.java	WindowDescriptor	record	48	unclassified	49	52aba0cd3cbad50cdcdffa9524745216812888e8694fbc72c3f70c23c7415b2f
src/mechanist/UniversalWindowAuthority.java	UniversalWindowAuthority	class	12	unclassified	234	908fffa6aa6ebbccbf4fd8ec2ce81aa14c5914b44b655d5ad7ffae6d01dbeafa
src/mechanist/UniversalWindowAuthority.java	WindowKind	enum	15	unclassified	234	908fffa6aa6ebbccbf4fd8ec2ce81aa14c5914b44b655d5ad7ffae6d01dbeafa
src/mechanist/UniversalWindowAuthority.java	LifecycleState	enum	31	unclassified	234	908fffa6aa6ebbccbf4fd8ec2ce81aa14c5914b44b655d5ad7ffae6d01dbeafa
src/mechanist/UniversalWindowAuthority.java	EscapeBehavior	enum	40	unclassified	234	908fffa6aa6ebbccbf4fd8ec2ce81aa14c5914b44b655d5ad7ffae6d01dbeafa
src/mechanist/UniversalWindowAuthority.java	WindowSpec	class	48	unclassified	234	908fffa6aa6ebbccbf4fd8ec2ce81aa14c5914b44b655d5ad7ffae6d01dbeafa
src/mechanist/UniversalWindowAuthority.java	RuntimeWindowState	class	92	runtime.options	234	908fffa6aa6ebbccbf4fd8ec2ce81aa14c5914b44b655d5ad7ffae6d01dbeafa
src/mechanist/UserProfileAuthority.java	UserProfileAuthority	class	16	inventory.items.persistence	144	ffdaf409e2d06a09aa74a69864129c1a018d1555457bf7f109e50eb993f8eb21
src/mechanist/UserProfileAuthority.java	Profile	class	19	inventory.items.persistence	144	ffdaf409e2d06a09aa74a69864129c1a018d1555457bf7f109e50eb993f8eb21
src/mechanist/VisualJuiceFramework.java	VisualJuiceFramework	class	15	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	PlayerState	record	60	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	GameHudOverlay	class	92	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	CameraJuiceState	record	203	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	CameraJuiceSystem	class	205	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	ScreenGlitchEffect	class	236	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	PrimitiveParticleEmitter2D	class	272	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	WeaponFireProfile	interface	371	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	LasBeam	record	372	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	Plasma	record	373	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	ShotgunBlast	record	374	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	ImpactBurst	record	375	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	LightSource	record	378	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	LightmapRenderer2D	class	386	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	Collidable	record	532	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	AabbCollisionSystem	class	534	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualJuiceFramework.java	Projectile2DPool	class	566	ui.render.surface	593	06ae703842a4282027f0f03bb776b8b3c281ab08d6aa3a331c98f3351d5167c1
src/mechanist/VisualLightingAuthority.java	only	class	12	unclassified	272	e0c0ab6f8951ad3910978fa9354f29a655fc22c1228a20d02b2676b17d05b0d0
src/mechanist/VisualLightingAuthority.java	VisualLightingAuthority	class	15	unclassified	272	e0c0ab6f8951ad3910978fa9354f29a655fc22c1228a20d02b2676b17d05b0d0
src/mechanist/VisualLightingAuthority.java	FlickerKind	enum	18	unclassified	272	e0c0ab6f8951ad3910978fa9354f29a655fc22c1228a20d02b2676b17d05b0d0
src/mechanist/VisualLightingAuthority.java	LightSample	class	20	unclassified	272	e0c0ab6f8951ad3910978fa9354f29a655fc22c1228a20d02b2676b17d05b0d0
src/mechanist/WasteNewsprintScavengeAuthority.java	owns	class	8	unclassified	133	25cdea6ad7c1531440dfa2dd7672d3fdcc42cf9509fd0e3f476831008af133cc
src/mechanist/WasteNewsprintScavengeAuthority.java	WasteNewsprintScavengeAuthority	class	12	unclassified	133	25cdea6ad7c1531440dfa2dd7672d3fdcc42cf9509fd0e3f476831008af133cc
src/mechanist/WindowsLaunchHealthCheck.java	must	class	14	unclassified	149	b7ee91e3a0e97197ab4aecfd6fe7eed9caf7328987aca33244415ba2266bfff2
src/mechanist/WindowsLaunchHealthCheck.java	WindowsLaunchHealthCheck	class	19	unclassified	149	b7ee91e3a0e97197ab4aecfd6fe7eed9caf7328987aca33244415ba2266bfff2
src/mechanist/WindowsLaunchHealthCheck.java	existing	class	81	unclassified	149	b7ee91e3a0e97197ab4aecfd6fe7eed9caf7328987aca33244415ba2266bfff2
src/mechanist/WindowsLaunchHealthCheck.java	missing	class	92	unclassified	149	b7ee91e3a0e97197ab4aecfd6fe7eed9caf7328987aca33244415ba2266bfff2
src/mechanist/WindowsLaunchHealthCheck.java	ProbeStatus	record	146	unclassified	149	b7ee91e3a0e97197ab4aecfd6fe7eed9caf7328987aca33244415ba2266bfff2
src/mechanist/WorldCommandRequest.java	WorldCommandRequest	interface	10	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	MovePlayerCommand	record	33	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
src/mechanist/WorldCommandRequest.java	WaitCommand	record	44	world.generation.transition	171	c466fc805cabb5a48900090fc922084a52eb3cb3255b68bbc0b0545e1af875b7
